Name,uefa_Name
Leeds,
Newcastle,
Arsenal,ARS  Arsenal FC  Arsenal
Everton,EVE  Everton FC  Everton
Brentford,
Aston Villa,
Crystal Palace,
Man Utd,MU  Manchester United  Man. United
Norwich,
Wolves,WOL  Wolverhampton Wanderers FC  Wolves
Brighton,
West Ham,WES  West Ham United FC  West Ham
Watford,
Liverpool,LIV  Liverpool FC  Liverpool
Tottenham,TOT  Tottenham Hotspur  Tottenham
Man City,MC  Manchester City FC  Man. City
Southampton,SOU  Southampton FC  Southampton
Burnley,BUR  Burnley FC  Burnley
Leicester,LEI  Leicester City FC  Leicester
Chelsea,CHE  Chelsea FC  Chelsea
Mallorca,
Osasuna,
Cadiz,
Granada,GRA
Espanyol,ESP
Valencia,VAL  Valencia CF  Valencia
Barcelona,BAR  FC Barcelona  Barcelona
Real Madrid,RM  Real Madrid CF  Real Madrid
Athletic Bilbao,ATH  Athletic Club  Athletic Club
Deportivo Alaves,
Villarreal,VLR  Villarreal CF  Villarreal
Elche,
Sevilla,SEV  Sevilla FC  Sevilla
Real Betis,BET  Real Betis Balompi?  Betis
Rayo Vallecano,
Atletico,ATL  Club Atl?tico de Madrid  Atl?tico
Getafe,GET  Getafe CF  Getafe
Levante,
Celta Vigo,CEL  RC Celta de Vigo  Celta
Real Sociedad,REA  Real Sociedad de F?tbol  Real Sociedad
Freiburg,FRE  SC Freiburg  Freiburg
Hoffenheim,HOF  TSG 1899 Hoffenheim  Hoffenheim
Wolfsburg,WOL  VfL Wolfsburg  Wolfsburg
RBL,LEI  RB Leipzig  Leipzig
Borussia Dortmund,BVB  Borussia Dortmund  Dortmund
Bochum,
Frankfurt,EIN  Eintracht Frankfurt  Frankfurt
Mainz,MAI  1. FSV Mainz 05  Mainz
Greuther Fuerth,
Hertha Berlin,HER  Hertha BSC Berlin  Hertha
Augsburg,
Union Berlin,
Stuttgart,
Leverkusen,BL  Bayer 04 Leverkusen  Leverkusen
Borussia M.Gladbach,MON  VfL Borussia M?nchengladbach  M?nchengladbach
Arminia Bielefeld,
Bayern,BAY  FC Bayern M?nchen  Bayern
FC Koln,K?L  1. FC K?ln  K?ln
Schalke,SCH  FC Schalke 04  Schalke
Sassuolo,US Sassuolo Calcio  Sassuolo
Inter,INT  FC Internazionale Milano  Inter
Verona,
Sampdoria,
Juventus,JUV  Juventus  Juventus
Salernitana,
Genoa,
Cagliari,
Fiorentina,FIO  ACF Fiorentina  Fiorentina
Spezia,
Empoli,
Roma,ASR  AS Roma  Roma
Venezia,
AC Milan,ACM  AC Milan  Milan
Lazio,LAZ  SS Lazio  Lazio
Torino,TOR  Torino FC  Torino
Bologna,
Napoli,NAP  SSC Napoli  Napoli
Udinese,
Atalanta,ATA  Atalanta BC  Atalanta
Lorient,
Clermont Foot,
Bordeaux,BOR  FC Girondins de Bordeaux  Bordeaux
Rennes,REN  Stade Rennais FC  Rennes
Brest,
Marseille,OM  Olympique de Marseille  Marseille
Monaco,MON  AS Monaco FC  Monaco
Nantes,
Saint-Etienne,STE  AS Saint-?tienne  St-?tienne
Angers,
Metz,
Montpellier,MON  Montpellier H?rault SC  Montpellier
Strasbourg,STR  Racing Club de Strasbourg Alsace  Strasbourg
Troyes,
PSG,PAR  Paris Saint-Germain  Paris
Reims,REI  Stade de Reims  Reims
Lens,
Lille,LIL  LOSC Lille  LOSC
Nice,NIC  OGC Nice  Nice
Lyon,OL  Olympique Lyonnais  Lyon
